                Step[ FC]     Time          Energy          fmax
BFGSLineSearch:    0[  0] 22:57:00    -4091.404477       0.0499
BFGSLineSearch:    1[  2] 23:29:09    -4091.409112       0.0243
BFGSLineSearch:    2[  3] 23:48:04    -4091.410336       0.0242
BFGSLineSearch:    3[  5] 00:18:05    -4091.411413       0.0239
BFGSLineSearch:    4[  7] 01:02:12    -4091.412600       0.0279
BFGSLineSearch:    5[  9] 01:39:03    -4091.413552       0.0134
BFGSLineSearch:    6[ 11] 02:09:12    -4091.414999       0.0129
BFGSLineSearch:    7[ 13] 02:44:14    -4091.415196       0.0066
BFGSLineSearch:    8[ 15] 03:20:02    -4091.415397       0.0046
BFGSLineSearch:    9[ 19] 04:21:08    -4091.415468       0.0042
BFGSLineSearch:   10[ 21] 04:54:52    -4091.415555       0.0061
BFGSLineSearch:   11[ 23] 05:23:45    -4091.415649       0.0028
BFGSLineSearch:   12[ 24] 05:46:58    -4091.415668       0.0024
BFGSLineSearch:   13[ 25] 06:02:56    -4091.415671       0.0022
BFGSLineSearch:   14[ 28] 06:54:19    -4091.415676       0.0019
BFGSLineSearch:   15[ 31] 07:45:14    -4091.415691       0.0017
BFGSLineSearch:   16[ 33] 08:37:26    -4091.415701       0.0016
BFGSLineSearch:   17[ 36] 09:26:59    -4091.415718       0.0012
BFGSLineSearch:   18[ 38] 09:59:49    -4091.415720       0.0011
BFGSLineSearch:   19[ 40] 10:31:47    -4091.415729       0.0011
BFGSLineSearch:   20[ 42] 11:08:54    -4091.415743       0.0013
BFGSLineSearch:   21[ 44] 11:49:52    -4091.415747       0.0011
BFGSLineSearch:   22[ 45] 12:05:05    -4091.415751       0.0006
BFGSLineSearch:   23[ 46] 12:19:48    -4091.415753       0.0001
